City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Martapura,ID,80.69,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
2,Atuona,PF,78.13,clear sky,-9.8,-139.0333,Villa Enata
14,Sindgi,IN,79.81,overcast clouds,16.9167,76.2333,Sasabal
21,Makaha,US,81.73,scattered clouds,21.4694,-158.2175,Hawaiian Princess Resort
25,Raxaul,IN,86.32,scattered clouds,26.9833,84.85,R S Residency
26,Dwarka,IN,84.92,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
31,Pyay,MM,86.18,broken clouds,18.8167,95.2167,Shwe Pyi Thar
32,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
36,Finschhafen,PG,81.82,overcast clouds,-6.6024,147.8681,Cossam Guest House
39,Makakilo City,US,80.62,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
43,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
46,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Beyneu,KZ,80.8,overcast clouds,45.3167,55.2,NUR
60,Hithadhoo,MV,81.73,overcast clouds,-0.6,73.0833,Scoop Guest House
61,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
64,Nago,JP,82.83,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
67,Champerico,GT,76.95,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
68,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
69,Honiara,SB,87.22,clear sky,-9.4333,159.95,Heritage Park Hotel
73,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
74,Karwar,IN,79.93,overcast clouds,14.8,74.1333,Netalco Connects
78,Hasaki,JP,77.29,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
81,Sur,OM,88.75,broken clouds,22.5667,59.5289,Sur Plaza Hotel
83,Ipixuna,BR,76.73,broken clouds,-1.7625,-48.8043,Chalé do Mato
89,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
