City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Martapura,ID,-3.4167,114.85,80.69,89,40,3.44,scattered clouds
1,Castro,BR,-24.7911,-50.0119,55.38,85,31,3.56,scattered clouds
2,Atuona,PF,-9.8,-139.0333,78.13,68,0,19.77,clear sky
3,Ribeira Grande,PT,38.5167,-28.7,66.9,89,0,2.91,clear sky
4,Bluff,NZ,-46.6,168.3333,46.8,65,13,1.72,few clouds
5,Carnarvon,AU,-24.8667,113.6333,73.87,77,97,13.38,light rain
6,Cape Town,ZA,-33.9258,18.4232,61.21,51,0,13.8,clear sky
7,Chokurdakh,RU,70.6333,147.9167,48.52,52,82,12.08,broken clouds
8,Andenes,NO,69.3143,16.1194,45.05,81,100,11.3,overcast clouds
9,Viedma,AR,-40.8135,-62.9967,51.21,44,78,15.97,broken clouds
10,Herat,AF,34.5,62.0,76.42,33,86,24.18,overcast clouds
11,Esperance,AU,-33.8667,121.9,66.51,72,0,16.35,clear sky
12,Ahipara,NZ,-35.1667,173.1667,62.11,70,100,5.48,overcast clouds
13,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,36,20,16.11,few clouds
14,Sindgi,IN,16.9167,76.2333,79.81,64,100,12.44,overcast clouds
15,Flinders,AU,-34.5833,150.8552,65.17,57,19,4.0,few clouds
16,Rikitea,PF,-23.1203,-134.9692,72.5,64,64,1.68,broken clouds
17,Dikson,RU,73.5069,80.5464,32.25,93,100,10.02,overcast clouds
18,Luderitz,NA,-26.6481,15.1594,54.46,76,0,4.81,clear sky
19,Albany,US,42.6001,-73.9662,68.41,83,100,7.81,overcast clouds
20,Mehamn,NO,71.0357,27.8492,40.91,87,100,6.91,overcast clouds
21,Makaha,US,21.4694,-158.2175,81.73,61,40,13.8,scattered clouds
22,Isfana,KG,39.8386,69.5306,66.76,50,42,5.99,scattered clouds
23,Lompoc,US,34.6391,-120.4579,65.01,72,0,27.0,clear sky
24,Chuy,UY,-33.6971,-53.4616,54.75,94,100,6.49,overcast clouds
25,Raxaul,IN,26.9833,84.85,86.32,68,25,4.21,scattered clouds
26,Dwarka,IN,22.2394,68.9678,84.92,76,63,14.58,broken clouds
27,Bonavista,CA,48.6499,-53.1147,49.01,85,4,12.24,clear sky
28,Ushuaia,AR,-54.8,-68.3,24.01,95,79,4.34,broken clouds
29,Pevek,RU,69.7008,170.3133,33.85,79,16,9.95,few clouds
30,Guarapari,BR,-20.6667,-40.4975,65.89,76,54,4.88,broken clouds
31,Pyay,MM,18.8167,95.2167,86.18,62,56,7.54,broken clouds
32,Georgetown,MY,5.4112,100.3354,84.13,87,20,2.3,few clouds
33,Punta Arenas,CL,-53.15,-70.9167,33.91,75,75,23.02,broken clouds
34,Kodiak,US,57.79,-152.4072,56.71,67,100,9.22,overcast clouds
35,La Ronge,CA,55.1001,-105.2842,57.45,77,75,11.5,broken clouds
36,Finschhafen,PG,-6.6024,147.8681,81.82,74,94,9.33,overcast clouds
37,Chimoio,MZ,-19.1164,33.4833,57.06,100,75,2.91,broken clouds
38,Mataura,NZ,-46.1927,168.8643,46.47,71,7,2.08,clear sky
39,Makakilo City,US,21.3469,-158.0858,80.62,69,40,14.97,scattered clouds
40,Kruisfontein,ZA,-34.0033,24.7314,49.89,38,100,7.72,overcast clouds
41,Busselton,AU,-33.65,115.3333,67.08,77,1,24.49,clear sky
42,Quatre Cocos,MU,-20.2078,57.7625,69.1,73,1,7.16,clear sky
43,Vaini,TO,-21.2,-175.2,80.76,74,40,10.36,scattered clouds
44,Saint George,US,37.1041,-113.5841,101.62,6,0,11.5,clear sky
45,Hobart,AU,-42.8794,147.3294,52.27,88,75,9.22,broken clouds
46,Kapaa,US,22.0752,-159.319,82.38,84,100,17.27,light rain
47,Port Hardy,CA,50.6996,-127.4199,55.58,76,75,3.44,light intensity shower rain
48,Berlevag,NO,70.8578,29.0864,40.95,81,100,9.22,overcast clouds
49,Sumbe,AO,-11.2061,13.8437,67.32,85,88,6.4,overcast clouds
50,East London,ZA,-33.0153,27.9116,53.82,55,76,9.8,broken clouds
51,Paamiut,GL,61.994,-49.6678,38.57,73,100,17.13,overcast clouds
52,Maragogi,BR,-9.0122,-35.2225,74.34,86,100,7.96,overcast clouds
53,Lengshuitan,CN,26.4111,111.5956,72.12,98,99,0.09,overcast clouds
54,Gunnedah,AU,-30.9833,150.25,60.75,43,5,3.94,clear sky
55,Port-Cartier,CA,50.0334,-66.8654,61.02,78,100,3.67,moderate rain
56,Thompson,CA,55.7435,-97.8558,46.56,66,20,11.5,few clouds
