City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Krasnoselkup,65.7,82.4667,61.68,82,100,4.9,RU,2022-06-15 22:40:15
1,Narasannapeta,18.4167,84.05,82.71,82,100,9.37,IN,2022-06-15 22:40:15
2,Bluff,-46.6,168.3333,48.79,79,49,24.32,NZ,2022-06-15 22:40:16
3,Busselton,-33.65,115.3333,61.23,84,5,8.5,AU,2022-06-15 22:40:16
4,Torbay,47.6666,-52.7314,48.97,70,40,8.05,CA,2022-06-15 22:40:16
5,Coihaique,-45.5752,-72.0662,41.61,87,20,0.0,CL,2022-06-15 22:40:02
6,Shenjiamen,29.9576,122.298,72.28,96,74,11.18,CN,2022-06-15 22:40:17
7,Albany,42.6001,-73.9662,79.29,51,86,2.57,US,2022-06-15 22:40:17
8,Rocha,-34.4833,-54.3333,52.83,90,90,5.48,UY,2022-06-15 22:40:17
9,Lorengau,-2.0226,147.2712,84.54,69,88,9.51,PG,2022-06-15 22:40:18
10,Cape Town,-33.9258,18.4232,57.38,72,0,4.0,ZA,2022-06-15 22:40:18
11,Kapaa,22.0752,-159.319,83.48,74,0,17.27,US,2022-06-15 22:40:18
12,Pangai,-19.8,-174.35,82.51,74,20,13.8,TO,2022-06-15 22:37:19
13,Rikitea,-23.1203,-134.9692,72.75,70,55,6.73,PF,2022-06-15 22:40:19
14,Luderitz,-26.6481,15.1594,63.46,35,5,18.32,NA,2022-06-15 22:40:19
15,Atuona,-9.8,-139.0333,78.19,69,38,20.13,PF,2022-06-15 22:40:19
16,Nikolskoye,59.7035,30.7861,57.79,89,86,10.6,RU,2022-06-15 22:40:20
17,Tasiilaq,65.6145,-37.6368,41.16,96,100,9.4,GL,2022-06-15 22:40:20
18,Pevek,69.7008,170.3133,35.11,78,6,5.73,RU,2022-06-15 22:40:20
19,Bambous Virieux,-20.3428,57.7575,74.21,78,75,17.27,MU,2022-06-15 22:40:21
20,Saint-Philippe,-21.3585,55.7679,69.39,85,58,16.53,RE,2022-06-15 22:40:21
21,Mataura,-46.1927,168.8643,48.47,92,97,7.43,NZ,2022-06-15 22:40:21
22,Midland,31.9974,-102.0779,99.27,26,0,19.57,US,2022-06-15 22:38:17
23,Romilly-Sur-Seine,48.5108,3.7263,69.12,73,3,4.18,FR,2022-06-15 22:40:22
24,Nanortalik,60.1432,-45.2371,40.26,78,30,8.86,GL,2022-06-15 22:40:22
25,Ushuaia,-54.8,-68.3,42.46,75,40,11.5,AR,2022-06-15 22:40:17
26,Chulman,56.8479,124.9104,58.95,57,11,4.07,RU,2022-06-15 22:40:22
